,Name
0,Kendrick Lamar
1,Kanye West
2,J. Cole
3,Travis Scott
4,Future
5,Lil Wayne
6,"Tyler, The Creator"
7,A$AP Rocky
8,Juice WRLD
9,Young Thug
10,XXXTENTACION
11,Eminem
12,21 Savage
13,Lil Uzi Vert
14,Denzel Curry
15,Drake
16,Nas
17,Joey Bada$$
18,JID
19,JAY-Z
20,Donald Glover
21,Mac Miller
22,Chief Keef
23,Migos
24,Kid Cudi
25,Pusha T
26,Schoolboy Q
27,Wiz Khalifa
28,Dr. Dre
29,Lil Baby
30,Snoop Dogg
31,2 Chainz
32,Freddie Gibbs
33,Vince Staples
34,Earl Sweatshirt
35,Ski Mask The Slump God
36,Gunna
37,Chance The Rapper
38,Nicki Minaj
39,Lupe Fiasco
40,Big Sean
41,Gucci Mane
42,Rick Ross
43,Meek Mill
44,Kodak Black
45,Nipsey Hussle
46,Post Malone
47,Lil Yachty
48,Logic
49,Jay Rock
50,JPEGMAFIA
51,FERG
52,Anderson .Paak
53,Danny Brown
54,Fetty Wap
55,YG
56,Rae Sremmurd
57,DMX
58,Isaiah Rashad
59,Run the Jewels
60,Ludacris
61,Trippie Redd
62,Benny the Butcher
63,Ab-Soul
64,A Tribe Called Quest
65,Joyner Lucas
66,The Game
67,G Herbo
68,Bobby Shmurda
69,Brockhampton
70,Lil Peep
71,YNW Melly
72,Bryson Tiller
73,T.I.
74,Waka Flocka Flame
75,Juicy J
76,Tech N9ne
77,Aminé
78,Common
79,Kevin Gates
80,Aesop Rock
81,Wale
82,Jeezy
83,Big Boi
84,Flo Rida
85,Rapsody
86,NF
87,Mary J. Blige
88,PnB Rock
89,Tyga
90,Pitbull
91,Young M.A
92,Macklemore
93,Jadakiss
94,Timbaland
95,Lil Skies
96,Cardi B
97,G-Eazy
98,Yo Gotti
99,E-40
100,Playboi Carti
101,Lil Pump
102,Roddy Ricch
103,Polo G
104,A Boogie Wit Da Hoodie
105,Rich The Kid
106,NLE Choppa
107,Megan Thee Stallion
108,Lil Durk
109,DaBaby
110,Cordae
111,IDK
112,Lil Tecca
113,Lil Tjay
114,Pop Smoke
115,YBN Nahmir
116,Blueface
117,Young Nudy
118,Noname
119,GoldLink
120,Rod Wave
121,Tee Grizzley
122,Lil Keed
123,Key Block
124,Smokepurpp
125,Youngboy Never Broke Again
